Date,SPY
2002-07-30,58.84269332885742
2002-07-31,58.985050201416016
2002-08-01,57.44507598876953
2002-08-02,56.15743637084961
2002-08-05,54.203346252441406
2002-08-06,56.028053283691406
2002-08-07,57.005104064941406
2002-08-08,58.849151611328125
2002-08-09,59.06916427612305
2002-08-12,58.6356315612793
2002-08-13,57.568016052246094
2002-08-14,59.67090606689453
2002-08-15,60.4991340637207
2002-08-16,60.317962646484375
2002-08-19,61.72853469848633
2002-08-20,61.075016021728516
2002-08-21,61.95503234863281
2002-08-22,62.5567512512207
2002-08-23,61.210899353027344
2002-08-26,61.63796615600586
2002-08-27,60.92618942260742
2002-08-28,59.59326934814453
2002-08-29,59.61917495727539
2002-08-30,59.38620376586914
2002-09-03,57.12154769897461
2002-09-04,57.93684768676758
2002-09-05,57.44507598876953
2002-09-06,58.2344856262207
2002-09-09,58.6615104675293
2002-09-10,59.33442306518555
2002-09-11,58.96563720703125
2002-09-12,57.878604888916016
2002-09-13,58.02093505859375
2002-09-16,58.16328811645508
2002-09-17,56.83036422729492
2002-09-18,56.260963439941406
2002-09-19,54.80510330200195
2002-09-20,54.823307037353516
2002-09-23,54.37482452392578
2002-09-24,53.497398376464844
2002-09-25,54.823307037353516
2002-09-26,55.72023391723633
2002-09-27,53.78337860107422
2002-09-30,53.15943145751953
2002-10-01,55.71373748779297
2002-10-02,54.04335403442383
2002-10-03,53.497398376464844
2002-10-04,52.51596450805664
2002-10-07,51.43057632446289
2002-10-08,52.23650360107422
2002-10-09,50.7611083984375
2002-10-10,52.405494689941406
2002-10-11,54.69981384277344
2002-10-14,55.005279541015625
2002-10-15,57.650569915771484
2002-10-16,56.25321960449219
2002-10-17,57.37112045288086
2002-10-18,57.61159133911133
2002-10-21,58.60603332519531
2002-10-22,58.18355941772461
2002-10-23,58.62550735473633
2002-10-24,57.42959213256836
2002-10-25,58.62550735473633
2002-10-28,58.242027282714844
2002-10-29,57.566097259521484
2002-10-30,58.125057220458984
2002-10-31,57.53359603881836
2002-11-01,58.6710205078125
2002-11-04,59.229976654052734
2002-11-05,59.69792556762695
2002-11-06,60.47138977050781
2002-11-07,58.989479064941406
2002-11-08,58.268043518066406
2002-11-11,57.364593505859375
2002-11-12,57.81958770751953
2002-11-13,57.878047943115234
2002-11-14,58.96998977661133
2002-11-15,59.40545654296875
2002-11-18,58.8075065612793
2002-11-19,58.72948455810547
2002-11-20,60.035919189453125
2002-11-21,61.15379333496094
2002-11-22,60.718318939208984
2002-11-25,60.75736999511719
2002-11-26,59.60042190551758
2002-11-27,61.277286529541016
2002-11-29,61.08232498168945
2002-12-02,61.17982482910156
2002-12-03,60.360862731933594
2002-12-04,60.087886810302734
2002-12-05,59.42493438720703
2002-12-06,59.81493377685547
2002-12-09,58.170536041259766
2002-12-10,58.95048904418945
2002-12-11,59.00246810913086
2002-12-12,58.99597930908203
2002-12-13,58.066551208496094
2002-12-16,59.567935943603516
